id, text, author
1,"Co my wiemy, to tylko kropla. Czego nie wiemy, to cały ocean","Isaac Newton"
2,"Wiedza jest potęgą","Francis Bacon"
3,"Kto pyta nie błądzi","Stare polskie przysłowie"
4,"Im więcej wiem, tym więcej dostrzegam, że nie wiem","Sokrates"
5,"Prawdziwa mądrość zaczyna się, kiedy przestajesz cytować innych ludzi...","Chuck Palahniuk"
6,"Jak zwykli mawiać elyńscy kupcy, w życiu potrzebna jest wyłącznie pewność siebie, wiedza i mnóstwo bezczelności","Trudi Canavan, Uczennica maga"
7,"Głupcowi wydaje się, że wie wszystko. Mędrzec wie, że nic nie wie","Amanda Hocking, Zamieniona"
8,"Wiedza zawsze boli","Cassandra Clare, Miasto kości"
9,"...fakty wprawdzie są mocne - powiedział ktoś mądry - lecz nie tak mocne jak fałszywe mniemania","Lucy Maud Montgomery, Ania na uniwersytecie"
10,"Wiedza nie jest tym samym co mądrość","Dan Millman, Droga miłującego pokój wojownika"
11,"Wiedza powinna prowadzić do mądrości i jeśli tego nie robi, jest tylko obrzydliwą stratą czasu","J.D.Salinger, Franny i Zooey"
12,"Książki to klucz do wiedzy, a wiedza to klucz do życia","Donna Ford, Pasierbica. Prawdziwa historia złamanego dzieciństwa"
13,"Im więcej się wie, tym częściej się milczy","Jonathan Carroll, Drewniane morze"
14,"Wiedzieć coś a zachowywać się w zgodzie z tą wiedzą to dwie różne rzeczy","Kristin Cast, Ukryta"
15,"Jesteśmy tylko tym, co wiemy","David Mitchell, Atlas chmur"
16,"Wiedzę niszczyli ci, którzy byli zbyt głupi, aby zrozumieć, co czynią","Richelle Mead, Cienie sukuba"
17,"Poznanie prawdy nie jest dobrem samym w sobie, lecz liczy się tylko, czy potrafimy zyskaną wiedzę wykorzystać z pożytkiem dla nas samych","Jacek Piekara, Miecz Aniołów"
18,"Wiedza daje pokorę wielkiemu, dziwi przeciętnego, nadyma małego. Nic tak nie ogranicza prawdziwej wiedzy, jak przekonanie, że się wie to, czego się nie wie","Lew Tołstoj"
19,"Rozsądnie jest wiedzieć tyle, ile się da, ale jeszcze rozsądniej jest utrzymywać innych w niewiedzy co do własnej wiedzy","Melvin Burgess, Ćpun"
20,"Zmienić się, to znaczy zrozumieć i próbować postępować inaczej, według innego klucza, dochodzić do nowych rozwiązań, by się rozwijać i pogłębiać wiedzę. Bo zmiany wymagają myślenia","Paulina Bukowska, Córeczka"
21,"Najważniejszą wiedzą, którą człowiek powinien posiąść, jest znajomość samego siebie i kierunku, w którym on sam podąża","Charlotte Brontë, Shirley"
22,"Czy wierzymy w słońce, w księżyc, w krzesło na którym siedzimy, w ziemię po której stąpamy? Jeśli ktoś posiada wiedzę, nie potrzebuje wiary","Mary Westmacott, Brzemię"
23,"Wielkość człowieka polega na tym, że mówi mniej niż wie, a o rzeczach skomplikowanych mówi prostym językiem","Martyna Wojciechowska, Przesunąć horyzont"
24,"Mówią, że niepełna wiedza jest rzeczą niebezpieczną, ale jednak nie tak złą, jak całkowita ignorancja","Terry Pratchett, Równoumagicznienie"
25,"Kto nie widzi szczegółów, nic nie wie. A kto nic nie wie, mimowolnie robi się okrutny","Olga Tokarczuk, Ostatnie historie"
26,"Nigdy nie mów, że czegoś nie umiesz. Jeśli słoń może nauczyć się chodzić po butelkach w cyrku, znaczy to, że można nauczyć się wszystkiego","Pia-Kristina Garde, Świadectwo skazanych na śmierć. Sześćdziesiąt lat później"
27,"To początek wiedzy: odkrycie czegoś, czego nie rozumiemy","Frank Herbert, Bóg Imperator Diuny"
28,"Nic nie stoi na przeszkodzie, żeby mieć określone przekonania i poglądy zbudowane na wiedzy i doświadczeniu. Poważny problem zaczyna się, gdy mamy przekonania i poglądy... zamiast wiedzy i doświadczenia","Meszuge, Przebudzenie. Droga do świadomego życia"
29,"Im więcej wiemy, tym większa jest nasza zdolność uczenia się i tym szybciej poszerzamy zakres naszego poznania","Dan Brown, Zaginiony symbol"
30,"Wiedza, tak jak powietrze, jest niezbędna do życia. I tak jak powietrza nikomu nie wolno jej odmawiać","Alan Moore, V jak Vendetta"
31,"Wiedza jest największą potęgą, jaka kiedykolwiek istniała, nigdy nie pozwól, by ktoś wmówił ci coś innego","Ewa Seno, Cena odwagi"
32,"Pamiętaj, że wiedza daje mądrość i siłę","Phyllis Christine Cast, Powrót Bogini. Część 2"
33,"Kiedy poznaje się ludzi, wtedy i świat, na którym żyją, staje się bardziej zrozumiały","Jacek Piekara, Ja, inkwizytor. Wieże do nieba"
34,"(...) wystarczy trochę obrotności i ogromne pragnienie wiedzy, aby dokonać w życiu wielkich rzeczy","Licia Troisi, Ostatni bohaterowie"
35,"Czasem zdarza się tak, że to, za czym gonimy, samo nas dogania. I wprawdzie domy buduje mądrość, ale ich fundamentem jest zawsze zrozumienie. Wiedza zaś wypełnia pokoje tego domu tym, co najbardziej drogocenne i trwałe","Lucy Maud Montgomery, Emilka z Księżycowego Nowiu"
36,"Pierwszym wrogiem, którego człowiek musi pokonać na swej drodze do wiedzy, jest strach","Carlos Castaneda, Nauki Don Juana"
37,"Co my w ogóle wiemy? Znacznie więcej, aniżeli wiemy, że wiemy","Agatha Christie, Zatrute pióro"
38,"Równie odlegli od atomów i gwiazd rozszerzamy
granice poznania tak, by objąć nimi i to, co najmniejsze i to, co najdalsze","Stephen Hawking, Krótka historia czasu"
39,"Czyż może być coś lepszego, niż dzięki rosnącej samowiedzy prowadzić życie bardziej świadome, a więc zostać reżyserem własnej pasji życia, czy też (...) być poetą własnego życia","Richard David Precht, Kim jestem? A jeśli już, to na ile?"
40,"Poznanie dla czystej wiedzy jest dostateczną nagrodą","Peter William Atkins, Kraina pierwiastków. Wyprawa do królestwa układu okresowego"
41,"Każde dzieło sztuki jest agresywne. I życie każdego artysty jest małą lub wielką wojną, choćby z samym sobą i własnymi ograniczeniami. Żeby zrealizować swoje zamiary, potrzebna ci jest przede wszystkim ambicja, a później talent, wiedza i w końcu szczęście","Carlos Ruiz Zafón, Gra anioła"
42,"Zbyt wiele wiedzy o sobie samych czerpiemy ze spojrzeń innych. Wolimy wierzyć w to, jak nas widzą, niż w to, jak sami postrzegamy siebie","Arthur Japin, Casanova"
43,"Ludzie muszą wiedzieć, na czym stoją","Blachman Jeremy, Anonimowy adwokat"
44,"To, co wiemy, można porównać do zapałki płonącej w mrokach wieczności","Władysław Stanisław Reymont, Ziemia obiecana. Tom 2"
45,"Lepiej mieć wiedzę i z niej nie korzystać, niż jej potrzebować, a nie mieć!","Dorothea Johnson, Współczesne maniery. Jak zachowywać się w drodze na szczyt"
46,"Wiem, że nic nie wiem","Platon, Obrona Sokratesa"
47,"Wszystko, co człowiek może wygrać w grze dżumy i życia, to wiedza i pamięć","Albert Camus, Dżuma"
48,"Wiedza jest bronią, Jon. Uzbrój się dobrze, zanim wyruszysz do boju","George R.R. Martin, Uczta dla wron: Cienie śmierci"
49,"Sekretów tej ziemi nie mogą oglądać wszyscy ludzie, lecz jedynie ci, którzy będą ich szukać","Ayn Rand, Hymn"
50,"To, co niedostępne, nieznane, niezbadane, z reguły przyciąga. Chcemy tego dotknąć, poznać to, dowiedzieć się o tym więcej. Kiedy nam się nie udaje, staramy się jeszcze bardziej. To automatyzm, instynkt, ciekawość wpisana w naturę człowieka","Artur Urbanowicz, Inkub",
51,"Gorsze od niewiedzy jest tylko przekonanie że się coś wie, kiedy naprawdę nic się nie wie","Cinda Williams Chima, Dziedziczka guślarzy"
52,"Wiedza przynosi zmianę. Jeśli nie dostrzegasz problemu, nie możesz go rozwiązać","Susan Jeffers, Mężczyźni też chcą być kochani"
53,"Czasami ludzie wiedzą więcej, niż chcą przyznać","George R.R. Martin, Nawałnica mieczy: Stal i śnieg"
54,"Wiedza, której się nie dzieli, pozostaje nieznana","Chris Grabenstein, Olimpiada pana Lemoncella"
55,"Wiedza to władza, Clark","Jojo Moyes, Zanim się pojawiłeś"
56,"Wiedza to nic innego jak tylko spostrzeżenie.","Platon, Parmenides; Teajtet"
57,"Jest prawdą bezwzględną, rozumowo oczywistą, że właściwemu postępowaniu nigdy, z wyjątkiem rzadkich wypadków, nie pomoże niewiedza, ani nie zaszkodzi wiedza","Bertrand Russell, Małżeństwo i moralność"
58,"Wiedza to władza","Joanna Chmielewska, Pech"
59,"Intuicja to nieuświadomiona wiedza","Tomasz Konatkowski, Nie ma takiego miasta"
60,"Głęboko wierzę, że wiedza to władza i że każda gra toczy się o niezwykle wysokie stawki, brak wiedzy jest najlepszą receptą na klęskę","Jordan Belfort, Wilk z Wall Street"
61,"Osobiście wiem jedno: że nic nie wiem. A jeśli chcę się dowiedzieć, szukam w książkach. Im przynajmniej pamięć zawsze dopisuje","Arturo Pérez-Reverte, Klub Dumas"
62,"Teraz, w niedalekiej przyszłości, o wyniku konfliktu przesądzi nie to, kto uderzy mocniej, ale celniej. A ja chcę być na to gotowy - bo prawdziwa potęga to wiedza!","Michał Gołkowski, Stalowe Szczury: Königsberg"
63,"(...) im więcej człowiek wie, tym lepiej chroni go prawda","Harlan Coben, Już mnie nie oszukasz"
64,"Wiedza może być równie cenna jak złoto, bardziej śmiercionośna niż sztylet","George R.R. Martin, Uczta dla wron: Sieć spisków"
65,"Wiek często bywa zaletą. Wiedza zdobywana latami pozwala umysłowi dojrzeć, dzięki czemu potrafimy lepiej ocenić własne pomysły","Ben Sweetland, Bogać się, kiedy śpisz"
66,"Jest pewna rzecz, z którą każdy, kto zacznie zajmować się nauką, musi się pogodzić: im więcej wiemy na jakiś temat, tym pełniej uświadamiamy sobie ogrom naszej ignorancji. Każda odpowiedź na zadane pytanie rodzi dziesięć kolejnych zagadek","Mickaël Launay, Pi razy drzwi, czyli dziwne przypadki matematyki"
67,"Główną i bezcenną podstawą naszego dobrego startu jest wiedza. Ona daje nam przewagę nad naszymi pierwotnymi przodkami. Mamy wszystko w książkach, jeżeli tylko zadamy sobie trud znalezienia potrzebnych informacji","John Wyndham, Dzień tryfidów"
68,"Ja piszę, bo nie wiem. I czytam, bo nie wiem. Oni też nie wiedzieli. Wszyscy szukali. Ja też szukam. Być może po to przybywamy na ten świat, aby szukać. Choć najpierw musimy się tego nauczyć. Ale nie zawsze znajdujemy","Dorota Terakowska, Ono"
69,"Wiedza jest panią despotyczną - nie ma względów ani litości (...)","Louis Gallet, Kapitan Czart przygody Cyrana de Bergerac"
70,"Ludzie, którzy uważają, że wszystko wiedzą, nigdy nie potknęli się o granicę pomiędzy tym, co we wszechświecie znane i nieznane. Nawet jej nie szukali","Neil deGrasse Tyson, Astrofizyka dla zabieganych"
71,"Tu chodzi o władzę. A władza to wiedza, której nikt inny nie posiada","Robin Cook, Komórka"
72,"W końcu to, że zostałeś mistrzem, nie zwalnia cię z obowiązku dalszej nauki, prawda?","Mercedes Lackey, Rycerz sowy"
73,"- Drogę sam pan musi znaleźć – skończył Shino już na progu pokoju. – Wiedza nigdy nie jest nam podana na tacy. To nie byłaby wiedza","Guillaume Musso, Wrócę po ciebie"
74,"Wiedza jest kierunkowskazem. Końcem drogi jest zrozumienie","Włodek Markowicz, Kropki"
75,"Zysk, jaki mamy z naszej nauki, to stać się lepszym i rozumniejszym","Michel de Montaigne, Próby. Księga pierwsza"
76,"Człowiek, który włada językiem wroga, włada również jego sposobem myślenia","Amos Oz, Pantera w piwnicy"
77,"Bez wiedzy nie ma szans, zdobądź i wykorzystaj informacje","Donald J. Trump"
78,"W życiu są rzeczy ważne i nieważne, a najważniejsze, by wiedzieć, które są które","Małgorzata Mroczkowska, Angielskie lato"
79,"Prawdziwym wyzwaniem dla wszystkich osób aspirujących do roli przywódcy jest zdobyć większą wiedzę i umiejętności przy wyrażaniu własnej tożsamości, a nie usiłować stać się kimś innym","Robert Goffee, Dlaczego ktoś miałby Cię uważać za swojego przywódcę"
80,"Wiedza jest zawsze lepsza niż jej brak. Gdy ją posiadasz, możesz radzić sobie z tym, co jest, zamiast z tym, co może być","Barbara Freethy, Wszystko czego pragnęła"
81,"...wiedza sama w sobie jest nagrodą","Benjamin Kunkel, Niezdecydowanie"
82,"To co stworzył jeden człowiek, inny jest w stanie pojąć","Arthur Conan Doyle, Powrót Sherlocka Holmesa"
83,"To bardzo przyjemne uczucie wiedzieć, że zrobiłaś wszystko, co w Twojej mocy, by osiągnąć coś, co naprawdę się w życiu liczy. Możesz położyć głowę na poduszce ze świadomością, że wniosłaś do świata błyszczącą bryłkę złota","Courtney Walsh, Gdyby mnie zabrakło"
84,"Zdolność jakiejś osoby do poznania prawdy jest wprost proporcjonalna do wiedzy tej osoby.","Cixin Liu, Problem trzech ciał"
85,"Wiedzę możemy zdobywać od innych, ale mądrości musimy nauczyć się sami","Adam Mickiewicz"
86,"(…) celem wiedzy teoretycznej jest prawda, a wiedzy praktycznej działanie","Arystoteles, Metafizyka"
87,"(…) mędrzec musi posiadać wiedzę możliwie o wszystkich rzeczach, mimo iż nie będzie posiadał wiedzy o każdej poszczególnej rzeczy","Arystoteles, Metafizyka"
88,"Wszyscy ludzie z natury pragną wiedzy","Arystoteles, Metafizyka"
89,"Informacje są zawsze dostępne, jeśli tylko ktoś ma ochotę zadać sobie wiele trudu, by je zdobyć","Brian Herbert, Łowcy Diuny"
90,"Zniszczą nas dopiero wtedy, gdy zniszczą naszą wiedzę","Ursula K. Le Guin, Wracać wciąż do domu"
91,"Ten jest mądrym człowiekiem, kto zna granice swojej wiedzy...","Diana Gabaldon, Jesienne werble"
92,"Wiedza służy do tego, żeby wiedzieć. Czasem to, co się wie, pomaga coś zrobić, ale nie to jest najważniejsze. Chcę się dowiedzieć wszystkiego, co można wiedzieć, po nic, dla przyjemności","Jacqueline Harpman, Ja, która nie poznałam mężczyzn"
93,"Życie nauczyło mnie, że zawsze można dowiedzieć się czegoś od każdego, jeśli ma się uszy do słuchania","Tim Downs, Cuda nigdy nie ustają"
94,"Gdy wiadomo gdzie szukać, wiele informacji okazuje się leżeć na wierzchu","Małgorzata Fugiel-Kuźmińska, Kamień"
95,"Wiedza jest lepsza od niewiedzy","Alex Kava, Zabójczy wirus"
96,"Starzy wierzą we wszystko; dorośli we wszystko wątpią; młodzi wszystko wiedzą","Oscar Wilde, Aforyzmy, zmyślenia, paradoksy"
97,"(...) im więcej człowiek wie, tym bardziej zdaje sobie sprawę z własnej ignorancji","Joe Abercrombie, Pół świata"
98,"Dlaczego zadajesz tyle pytań, Mau? Bo chcę tyle samo odpowiedzi!","Terry Pratchett, Nacja"
99,"Niełatwo uczyć kogoś, kto nie chce przyznać, że istnieje cokolwiek, o czym nie wie","Terry Pratchett, Zimistrz. Opowieść ze Świata Dysku"
100,"Każdy głupi może wiedzieć. Sedno to zrozumieć","Albert Einstein"
